token,academic_career,term,class_nbr,module_code,course_title,class_group,module_credits,grading_basis,final_grade,earn_credit,requirement_designation,original_letter_grade,final_marks,grade_points,grade_points_per_unit
32000_1,UGRD,1010,2086,ACC2002,Introduction to Economic Analysis,L1,8,GRD,,,,,64.5,8,1
19700_2,UGRD,1720,15556,PR4106,Cities in Transition,TT06,4,GRD,A-,Y,,A-,73.3,0,0
12051_3,UGRD,1020,1627,PL3235,Quantitative Methods for Economic Analysis,S1,4,GRD,D+,Y,,D+,72.2,0,0
25996_4,UGRD,1210,1004,ME3112,Public Health in Action,TW1,4,GRD,A-,Y,,A-,80.5,16,4
55742_5,GRAD,1220,1311,EE1003,Complementary Medicine and Health,E1,4,GRD,,,,,0,0,0
20562_6,UGRD,1520,1052,SC1101E,Physics IE,L1,4,GRD,B+,Y,,B+,72,0,0
1684_7,UGRD,920,15554,MA1102R,Southeast Asia: A Changing Region,TST1,4,SNU,S,Y,,S,82.4,16,4
21274_8,UGRD,1420,1147,SE1101E,Asian Business Environments,T5,0,GRD,B-,Y,,B-,86,0,0
35722_9,UGRD,1120,1013,CE2112,Sociology of Family,L1,0,GRD,B-,Y,,B-,0,13.5,0
45031_10,GRAD,1420,1695,SSD2210,Acute and Specialty Clinical Practice,L1,0,CSU,B+,Y,,B+,0,12,0
28914_11,UGRD,1010,2273,ST1232,Microeconomic Analysis I,L1,4,GRD,B,Y,,B,88.5,0,0
27451_12,UGRD,1420,1116,PS3249,Communications and New Media Research,L1,4,CSU,,,,,0,0,0
37376_13,UGRD,820,1006,CN3132,Introduction to Programming with Matlab,L1,1,GRD,CS,Y,,CS,52,36,36
12153_14,UGRD,1720,1986,PR1102,DCP Project,L1,0,GRD,A-,Y,,A-,74,16,0
9771_15,UGRD,1020,1262,GE1101E,General Physiology,L1,0,GRD,,,,,0,12,0
58590_16,UGRD,1710,7780,EG5911,Electrical Energy Systems,L1,4,GRD,B+,Y,,B+,74.8,14,3.5
22735_17,UGRD,1610,1015,SSS1207,Physics in the Life Sciences,L1,0,GRD,,,,,69.4,12,0
57283_18,UGRD,1210,1276,GEM2900,General and Physical Chemistry for Engineers,L1,0,NON,B+,Y,,B+,85.1,10,0
47737_19,UGRD,1510,1102,LSM1301,Introduction to Psychology,TST1,0,GRD,A-,Y,,A-,0,20,0
49567_20,GRAD,820,12337,IS2102,Anthropology and the Human Condition,T1,0,GRD,S,Y,,S,0,0,0
13680_21,GRAD,1220,2166,AR5321,Experiments in Chemistry 2,SD1,0,NON,,,,,71.9,0,0
20504_22,UGRD,1810,1773,LSM3212,Engineering Electromagnetics,S6,0,NCM,,,,,0,10.5,0
21919_23,GRAD,1610,1015,ES2331,Honours Project in Life Sciences,L1,0,NON,B+,Y,,B+,0,0,0
40862_24,UGRD,810,3960,ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,L1,8,NON,,,,,0,20,2.5
43679_25,UGRD,1440,1028,TG1401,Mechanical Systems Design II,TW9,4,GRD,A,Y,,A,0,14,3.5
54093_26,UGRD,1720,2132,ST2131,Cell Biology,LSL1,4,CSU,,,,,0,20,5
30451_27,UGRD,1020,1992,RE2104,"Leisure, Recreation and Tourism",LV1,4,GRD,S,Y,,S,64.8,8,2
37868_28,UGRD,1740,1034,MD5140,Game Theory & Applications to Economics,L1,4,GRD,B,Y,,B,61.8,18,4.5
11371_29,UGRD,910,1123,FIN2004X,Medical-Surgical Nursing III,X1,0,GRD,C+,Y,,C+,75,20,0
21258_30,UGRD,1700,1455,EU1101E,Mechanical Systems Design I,L1,4,NON,B-,Y,,B-,0,0,0
