token,m1,m2,m3,m4c,m5c,mlo1_qbtitle,mlo1_qbid,mlo1_qbresp,mlo2_qbtitle,mlo2_qbid,mlo2_qbresp,mlo3_qbtitle,mlo3_qbid,mlo3_qbresp,mlo4_qbtitle,mlo4_qbid,mlo4_qbresp,mlo5_qbtitle,mlo5_qbid,mlo5_qbresp,mlo6_qbtitle,mlo6_qbid,mlo6_qbresp,mlo7_qbtitle,mlo7_qbid,mlo7_qbresp,mod_subjectid,mod_class_id,mod_class_name,mod_transformed,mod_term,mod_evaluation_start_date,mod_evaluation_end_date,mod_ay,mod_sem,mod_rptterm,mod_module_code,mod_activity_code,mod_activity_type,mod_class_no,mod_activity_code_report,mod_rpt_activity_type,mod_module_name,mod_crseid,mod_faculty_code,mod_faculty,mod_dept_code,mod_department,mod_evaluate_class_option,mod_year_long_module,mod_level,mod_rptfaccd,mod_rptfacdesc,mod_dept_average_by_activity,mod_rptdeptavgactivitydesc,mod_dept_average_by_activity_and_level,mod_rptdeptavgactivitylvldesc,mod_faculty_average_by_activity,mod_rptfacavgactivitydesc,mod_faculty_average_by_activity_and_level,mod_rptfacavgactivitylvldesc,mod_isismoddeptcd,mod_isismodfaccd,mod_merge_classid,mod_common_name
10013_789,1,4,4,,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,LC1003,Organic Chemistry for Engineers,,1110,,,11,1,1110,2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013_789,5,3,3,Good text 7,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,MA1505,Quantitative Reasoning,,1110,,,11,1,1110,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013_789,5,5,5,Good text 3,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,BSP1005,Physics IIE,,1110,,,11,1,1110,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013_789,3,1,3,Good text 3,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,MNO1001,Finance,,1110,,,11,1,1110,1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013_789,3,2,3,Good text 13,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,GEM2901,Heat Transfer,,1110,,,11,1,1110,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013_789,5,4,3,Good text 8,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,MA4199,English For Academic Purposes (Science),,1110,,,11,1,1110,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013_789,3,2,4,Good text 7,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,NM2104,Fundamentals of Real Estate Finance,,1110,,,11,1,1110,1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013_789,4,1,2,Good text 7,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,EC2101,The Nature of Language,,1110,,,11,1,1110,1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019_483,4,5,5,Good text 2,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,CG2271,Evidence (A),,1140,,,11,4,1140,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019_483,1,3,1,,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,GES1021,Strategies for Sustainable Architecture,,1140,,,11,4,1140,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019_483,1,4,2,Good text 10,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,CS1105,Human Anatomy and Physiology I,,1140,,,11,4,1140,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019_483,4,3,5,Good text 5,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,LSM2251,Corporate Finance,,1140,,,11,4,1140,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019_483,5,4,3,Good text 9,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,GE1101E,General Physiology,,1140,,,11,4,1140,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019_483,3,3,2,Good text 11,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,CM1191,Property Management,,1140,,,11,4,1140,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019_483,3,5,3,Good text 3,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,NM1101E,Asking Questions,,1140,,,11,4,1140,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019_483,1,5,2,Good text 5,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,PL3236,French 1,,1140,,,11,4,1140,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038_589,3,2,2,Good text 1,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,CN3135,Simulation,,1610,,,16,1,1610,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038_589,5,4,5,Good text 1,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,MA1521,Intermediate Fluid Mechanics,,1610,,,16,1,1610,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038_589,5,1,4,Good text 5,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,LC1007,Industrial Management,,1610,,,16,1,1610,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038_589,4,4,3,Good text 9,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,PR2102,Project Scheduling and Control,,1610,,,16,1,1610,7806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038_589,2,4,2,Good text 13,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,MA4199,English For Academic Purposes (Science),,1610,,,16,1,1610,7780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038_589,2,3,2,,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,NUR1110,Computational Thinking,,1610,,,16,1,1610,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038_589,1,4,3,Good text 4,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,ME2103,Pharmacy Practice III,,1610,,,16,1,1610,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038_589,5,1,4,Good text 6,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,GER1000,Programming Methodology,,1610,,,16,1,1610,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048_1794,3,2,2,Good text 12,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,EG5911,Electrical Energy Systems,,1420,,,14,2,1420,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048_1794,4,3,2,Good text 1,,,,,,,,,,,,,,,,,,,,,,,,RE2104,"Leisure, Recreation and Tourism",,1420,,,14,2,1420,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048_1794,5,3,5,Good text 10,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,PH1102E,"Legal Analysis, Research & Communication",,1420,,,14,2,1420,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048_1794,4,1,1,Good text 10,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,CS1010E,Principles of Marketing,,1420,,,14,2,1420,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048_1794,3,3,1,Good text 6,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,CN4118R,Power Electronics,,1420,,,14,2,1420,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048_1794,1,2,3,Good text 8,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,CS2010,Abnormal Psychology,,1420,,,14,2,1420,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048_1794,1,1,3,Good text 1,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,MA1101R,Making Sense of Society,,1420,,,14,2,1420,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065_1267,4,3,2,Good text 4,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,LSM2101,Statics And Mechanics Of Materials,,1120,,,11,2,1120,5941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
