"token","staff_token","t1","t2","t3","dsq1_qbtitle","dsq1_qbid","dsq1_qbresp","dsq2_qbtitle","dsq2_qbid","dsq2_qbresp","dsq3_qbtitle","dsq3_qbid","dsq3_qbresp","t5c","t6c","t7","t7_comments_qpresp","t4","q21_average_question_score_average_question_score","mod_subjectid","mod_class_id","mod_class_name","mod_transformed","mod_term","mod_evaluation_start_date","mod_evaluation_end_date","mod_ay","mod_sem","mod_rptterm","mod_module_code","mod_activity_code","mod_activity_type","mod_class_no","mod_activity_code_report","mod_rpt_activity_type","mod_module_name","mod_crseid","mod_faculty_code","mod_faculty","mod_dept_code","mod_department","mod_evaluate_class_option","mod_year_long_module","mod_level","mod_rptfaccd","mod_rptfacdesc","mod_dept_average_by_activity","mod_rptdeptavgactivitydesc","mod_dept_average_by_activity_and_level","mod_rptdeptavgactivitylvldesc","mod_faculty_average_by_activity","mod_rptfacavgactivitydesc","mod_faculty_average_by_activity_and_level","mod_rptfacavgactivitylvldesc","mod_isismoddeptcd","mod_isismodfaccd","mod_merge_classid","mod_common_name","mod_is_prime"
"10013_789","36607_40","3","3","1","","","","","","","","","","Good text 4","Bad text 1","1","Awesome text 3","","","","LC1003","Organic Chemistry for Engineers","","1110","","","11","1","1110","2961","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10013_789","55018_27","5","2","1","","","","","","","","","","Good text 8","Bad text 1","1","Awesome text 3","","","","MA1505","Quantitative Reasoning","","1110","","","11","1","1110","1204","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10013_789","83964_88","3","3","5","","","","","","","","","","Good text 13","Bad text 4","0","Awesome text 12","","","","BSP1005","Physics IIE","","1110","","","11","1","1110","1295","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10013_789","55051_63","2","2","3","","","","","","","","","","Good text 2","Bad text 5","0","Awesome text 11","","","","MNO1001","Finance","","1110","","","11","1","1110","1188","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10013_789","73868_6","4","4","5","","","","","","","","","","Good text 4","Bad text 3","0","","","","","GEM2901","Heat Transfer","","1110","","","11","1","1110","1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10013_789","29460_16","4","3","2","","","","","","","","","","Good text 12","Bad text 7","0","","","","","MA4199","English For Academic Purposes (Science)","","1110","","","11","1","1110","1828","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10013_789","64920_66","2","4","3","","","","","","","","","","Good text 11","Bad text 13","0","Awesome text 12","","","","NM2104","Fundamentals of Real Estate Finance","","1110","","","11","1","1110","1881","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10013_789","24229_11","4","2","3","","","","","","","","","","Good text 7","Bad text 8","1","","","","","EC2101","The Nature of Language","","1110","","","11","1","1110","1084","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10019_483","32973_0","1","3","3","","","","","","","","","","Good text 5","Bad text 12","1","Awesome text 11","","","","CG2271","Evidence (A)","","1140","","","11","4","1140","1216","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10019_483","6830_93","4","2","1","","","","","","","","","","Good text 1","Bad text 5","0","","","","","GES1021","Strategies for Sustainable Architecture","","1140","","","11","4","1140","2062","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10019_483","18981_95","2","4","3","","","","","","","","","","Good text 12","Bad text 6","1","Awesome text 9","","","","CS1105","Human Anatomy and Physiology I","","1140","","","11","4","1140","1025","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10019_483","79587_36","2","2","1","","","","","","","","","","Good text 13","Bad text 5","0","","","","","LSM2251","Corporate Finance","","1140","","","11","4","1140","1190","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10019_483","83248_11","1","1","5","","","","","","","","","","Good text 6","Bad text 7","0","","","","","GE1101E","General Physiology","","1140","","","11","4","1140","1006","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10019_483","38513_10","3","4","2","","","","","","","","","","Good text 7","Bad text 2","0","Awesome text 4","","","","CM1191","Property Management","","1140","","","11","4","1140","1919","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10019_483","15039_10","5","1","5","","","","","","","","","","Good text 7","Bad text 2","1","Awesome text 2","","","","NM1101E","Asking Questions","","1140","","","11","4","1140","1083","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10019_483","85135_43","1","3","2","","","","","","","","","","Good text 7","","1","","","","","PL3236","French 1","","1140","","","11","4","1140","1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10038_589","68571_90","2","2","5","","","","","","","","","","","Bad text 11","0","","","","","CN3135","Simulation","","1610","","","16","1","1610","1699","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10038_589","57189_19","5","1","4","","","","","","","","","","Good text 10","Bad text 6","0","","","","","MA1521","Intermediate Fluid Mechanics","","1610","","","16","1","1610","1460","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10038_589","20725_14","4","2","3","","","","","","","","","","Good text 3","","1","","","","","LC1007","Industrial Management","","1610","","","16","1","1610","1990","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10038_589","18643_66","1","4","3","","","","","","","","","","Good text 5","Bad text 8","1","Awesome text 13","","","","PR2102","Project Scheduling and Control","","1610","","","16","1","1610","7806","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10038_589","93731_73","4","3","3","","","","","","","","","","Good text 12","Bad text 11","1","Awesome text 12","","","","MA4199","English For Academic Purposes (Science)","","1610","","","16","1","1610","7780","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10038_589","30216_8","3","4","2","","","","","","","","","","Good text 9","Bad text 2","1","Awesome text 6","","","","NUR1110","Computational Thinking","","1610","","","16","1","1610","1218","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10038_589","83715_39","2","1","5","","","","","","","","","","Good text 1","Bad text 12","0","Awesome text 5","","","","ME2103","Pharmacy Practice III","","1610","","","16","1","1610","1305","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10038_589","70977_63","4","2","1","","","","","","","","","","Good text 1","Bad text 4","0","Awesome text 7","","","","GER1000","Programming Methodology","","1610","","","16","1","1610","1450","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10048_1794","75400_90","2","1","2","","","","","","","","","","Good text 2","Bad text 12","1","Awesome text 13","","","","EG5911","Electrical Energy Systems","","1420","","","14","2","1420","1791","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10048_1794","66395_48","2","3","5","","","","","","","","","","Good text 4","Bad text 7","0","","","","","RE2104","Leisure, Recreation and Tourism","","1420","","","14","2","1420","1092","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10048_1794","82426_22","4","2","5","","","","","","","","","","Good text 8","Bad text 4","1","","","","","PH1102E","Legal Analysis, Research & Communication","","1420","","","14","2","1420","1381","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10048_1794","45541_2","5","2","1","","","","","","","","","","","Bad text 9","0","Awesome text 10","","","","CS1010E","Principles of Marketing","","1420","","","14","2","1420","1215","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10048_1794","18942_4","5","2","1","","","","","","","","","","Good text 12","","1","","","","","CN4118R","Power Electronics","","1420","","","14","2","1420","1828","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10048_1794","87310_16","1","3","1","","","","","","","","","","Good text 7","Bad text 8","0","Awesome text 12","","","","CS2010","Abnormal Psychology","","1420","","","14","2","1420","1099","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10048_1794","2643_99","3","3","1","","","","","","","","","","Good text 13","Bad text 12","0","Awesome text 6","","","","MA1101R","Making Sense of Society","","1420","","","14","2","1420","1238","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10065_1267","30325_48","5","2","5","","","","","","","","","","Good text 3","Bad text 3","1","Awesome text 11","","","","LSM2101","Statics And Mechanics Of Materials","","1120","","","11","2","1120","5941","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10065_1267","65239_68","4","3","3","","","","","","","","","","Good text 4","Bad text 11","1","Awesome text 6","","","","LAJ2201","Managerial Accounting","","1120","","","11","2","1120","1142","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10065_1267","74203_74","1","5","5","","","","","","","","","","","Bad text 4","1","","","","","PC1432","Japanese 1","","1120","","","11","2","1120","1301","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10065_1267","50102_44","1","1","4","","","","","","","","","","Good text 12","Bad text 3","0","","","","","MA1104","Numerical Analysis I","","1120","","","11","2","1120","1015","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10065_1267","47443_67","3","3","4","","","","","","","","","","Good text 9","Bad text 4","1","Awesome text 10","","","","MA1421","Fundamentals of Physics I","","1120","","","11","2","1120","1204","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10065_1267","8712_54","3","5","3","","","","","","","","","","Good text 13","Bad text 10","0","","","","","MD1140","Bridging East and West: Exploring Chinese Communication","","1120","","","11","2","1120","1217","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10065_1267","89097_3","1","5","2","","","","","","","","","","Good text 12","Bad text 1","0","","","","","LC1004","Asia and the Modern World","","1120","","","11","2","1120","1556","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_66","16300_72","2","4","1","","","","","","","","","","","Bad text 12","0","","","","","ME2113","Money and Banking I","","610","","","6","1","610","1582","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_66","63823_72","2","5","5","","","","","","","","","","Good text 9","Bad text 4","0","","","","","LSM3212","Engineering Electromagnetics","","610","","","6","1","610","1048","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_66","51452_67","1","1","3","","","","","","","","","","Good text 6","Bad text 1","1","Awesome text 10","","","","SC2204","Systems Design Project","","610","","","6","1","610","1072","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_66","51221_44","3","2","5","","","","","","","","","","Good text 8","Bad text 3","1","","","","","MA1505","Quantitative Reasoning","","610","","","6","1","610","1439","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_66","37946_24","3","4","2","","","","","","","","","","Good text 1","Bad text 3","1","","","","","CFG1000","Strength of Materials","","610","","","6","1","610","1659","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_66","2488_57","5","2","2","","","","","","","","","","Good text 12","Bad text 4","1","","","","","EE2005","Cosmetics & Perfumes","","610","","","6","1","610","2132","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_66","33897_98","2","3","4","","","","","","","","","","Good text 9","Bad text 4","1","Awesome text 1","","","","DP1001","Mathematics I","","610","","","6","1","610","1787","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_66","24079_28","1","3","4","","","","","","","","","","","Bad text 2","0","","","","","CM2102","Basic Pharmacology","","610","","","6","1","610","1090","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10112_1428","95869_68","2","5","3","","","","","","","","","","Good text 11","Bad text 10","1","Awesome text 10","","","","IS1105","Visualisation in Design and Technology","","1210","","","12","1","1210","1251","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10112_1428","24356_93","3","5","5","","","","","","","","","","","Bad text 11","0","Awesome text 11","","","","SC2215","Physics for Electrical Engineers","","1210","","","12","1","1210","1054","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10112_1428","90344_5","4","3","2","","","","","","","","","","Good text 10","Bad text 7","0","","","","","SSA2215","Data Structures and Algorithms II","","1210","","","12","1","1210","15558","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10112_1428","66368_79","2","1","1","","","","","","","","","","Good text 13","Bad text 4","1","","","","","EC1101E","Changing Landscapes of Singapore","","1210","","","12","1","1210","1164","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10112_1428","80020_46","2","5","4","","","","","","","","","","Good text 4","Bad text 8","0","Awesome text 6","","","","PR2202","Construction Project Management","","1210","","","12","1","1210","1031","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10112_1428","85946_81","5","2","2","","","","","","","","","","Good text 2","Bad text 6","1","","","","","ME2112","Clean Energy and Storage","","1210","","","12","1","1210","13540","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10112_1428","76498_26","2","3","3","","","","","","","","","","Good text 7","Bad text 5","0","Awesome text 7","","","","PX3108","Singapore Film: Performance of Identity","","1210","","","12","1","1210","1543","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10137_1160","84043_87","3","3","2","","","","","","","","","","Good text 10","Bad text 2","1","Awesome text 11","","","","GE2204","Introduction to Circuits and Systems","","1310","","","13","1","1310","2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10137_1160","8860_73","5","1","1","","","","","","","","","","Good text 4","Bad text 10","0","","","","","FAS1101","Financial Economics I","","1310","","","13","1","1310","1081","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10137_1160","81409_43","2","2","3","","","","","","","","","","Good text 1","Bad text 9","1","Awesome text 9","","","","HR2002","HeadStart Module (A Career Development Programme)","","1310","","","13","1","1310","1398","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10137_1160","28669_63","2","4","2","","","","","","","","","","Good text 2","Bad text 6","1","Awesome text 9","","","","CM2102","Basic Pharmacology","","1310","","","13","1","1310","1198","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
